ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,http_trans_depth,http_request_body_len,http_response_body_len,http_status_code
1748221598.781006,64.233.190.139,443,192.168.18.14,56742,udp,desconocido,0,67,0,desconocido,0,1,67,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.805185,64.233.190.139,443,192.168.18.14,56742,udp,desconocido,0,162,0,desconocido,0,1,162,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.80563,64.233.190.139,443,192.168.18.14,56742,udp,desconocido,0,67,0,desconocido,0,1,67,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.806328,64.233.190.139,443,192.168.18.14,56742,udp,desconocido,0,71,0,desconocido,0,1,71,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.806328,64.233.190.139,443,192.168.18.14,56742,udp,desconocido,0,67,0,desconocido,0,1,67,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.806408,192.168.18.14,56742,64.233.190.139,443,udp,desconocido,0,74,0,desconocido,0,1,74,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.8135,64.233.190.139,443,192.168.18.14,56742,udp,desconocido,0,603,0,desconocido,0,1,603,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.813725,64.233.190.139,443,192.168.18.14,56742,udp,desconocido,0,115,0,desconocido,0,1,115,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.81383,192.168.18.14,56742,64.233.190.139,443,udp,desconocido,0,77,0,desconocido,0,1,77,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.885439,20.69.137.228,443,192.168.18.14,41429,tcp,desconocido,0,1466,0,desconocido,0,1,1466,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.885439,20.69.137.228,443,192.168.18.14,41429,tcp,desconocido,0,1466,0,desconocido,0,1,1466,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.885439,20.69.137.228,443,192.168.18.14,41429,tcp,desconocido,0,1466,0,desconocido,0,1,1466,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.885479,192.168.18.14,41429,20.69.137.228,443,tcp,desconocido,0,54,0,desconocido,0,1,54,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.885507,20.69.137.228,443,192.168.18.14,41429,tcp,desconocido,0,1466,0,desconocido,0,1,1466,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.885507,20.69.137.228,443,192.168.18.14,41429,tcp,desconocido,0,766,0,desconocido,0,1,766,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
1748221598.885517,192.168.18.14,41429,20.69.137.228,443,tcp,desconocido,0,54,0,desconocido,0,1,54,0,0,desconocido,0,0,0,desconocido,desconocido,desconocido,desconocido,0,0,0,0
